link,first_seen,label
3B-DAY-L.MS.MRG.3IMERG.20240601-S000000-E235959.V06.nc4,2024-06-05 21:45:36,late
3B-DAY-E.MS.MRG.3IMERG.20240601-S000000-E235959.V06.nc4,2024-06-05 21:45:36,early
3B-DAY-E.MS.MRG.3IMERG.20240602-S000000-E235959.V06.nc4,2024-06-05 22:17:19,early
3B-DAY-L.MS.MRG.3IMERG.20240601-S000000-E235959.V07B.nc4,2024-06-08 03:55:48,late_v7
3B-DAY-L.MS.MRG.3IMERG.20240602-S000000-E235959.V07B.nc4,2024-06-08 03:55:48,late_v7
3B-DAY-L.MS.MRG.3IMERG.20240603-S000000-E235959.V07B.nc4,2024-06-08 03:55:48,late_v7
3B-DAY-E.MS.MRG.3IMERG.20240601-S000000-E235959.V07B.nc4,2024-06-08 03:55:48,early_v7
3B-DAY-E.MS.MRG.3IMERG.20240602-S000000-E235959.V07B.nc4,2024-06-08 03:55:48,early_v7
3B-DAY-E.MS.MRG.3IMERG.20240603-S000000-E235959.V07B.nc4,2024-06-08 03:55:48,early_v7
3B-DAY-E.MS.MRG.3IMERG.20240604-S000000-E235959.V07B.nc4,2024-06-08 03:55:48,early_v7
3B-DAY-L.MS.MRG.3IMERG.20240604-S000000-E235959.V07B.nc4,2024-06-08 06:07:05,late_v7
3B-DAY-E.MS.MRG.3IMERG.20240605-S000000-E235959.V07B.nc4,2024-06-08 09:06:36,early_v7
3B-DAY-L.MS.MRG.3IMERG.20240605-S000000-E235959.V07B.nc4,2024-06-08 13:06:12,late_v7
3B-DAY-E.MS.MRG.3IMERG.20240606-S000000-E235959.V07B.nc4,2024-06-08 17:06:07,early_v7
3B-DAY-L.MS.MRG.3IMERG.20240606-S000000-E235959.V07B.nc4,2024-06-08 20:06:16,late_v7
3B-DAY-E.MS.MRG.3IMERG.20240607-S000000-E235959.V07B.nc4,2024-06-09 02:20:26,early_v7
3B-DAY-L.MS.MRG.3IMERG.20240607-S000000-E235959.V07B.nc4,2024-06-09 07:06:23,late_v7
3B-DAY-L.MS.MRG.3IMERG.20240608-S000000-E235959.V07B.nc4,2024-06-09 15:06:14,late_v7
3B-DAY-L.MS.MRG.3IMERG.20240609-S000000-E235959.V07B.nc4,2024-06-10 15:07:03,late_v7
3B-DAY-E.MS.MRG.3IMERG.20240608-S000000-E235959.V07B.nc4,2024-06-10 15:07:03,early_v7
3B-DAY-E.MS.MRG.3IMERG.20240609-S000000-E235959.V07B.nc4,2024-06-11 14:06:37,early_v7
3B-DAY-E.MS.MRG.3IMERG.20240610-S000000-E235959.V07B.nc4,2024-06-11 14:06:37,early_v7
3B-DAY-L.MS.MRG.3IMERG.20240610-S000000-E235959.V07B.nc4,2024-06-11 15:06:22,late_v7
3B-DAY-E.MS.MRG.3IMERG.20240611-S000000-E235959.V07B.nc4,2024-06-12 05:06:28,early_v7
3B-DAY-L.MS.MRG.3IMERG.20240611-S000000-E235959.V07B.nc4,2024-06-12 15:06:22,late_v7
3B-DAY-E.MS.MRG.3IMERG.20240612-S000000-E235959.V07B.nc4,2024-06-13 05:07:41,early_v7
3B-DAY-L.MS.MRG.3IMERG.20240612-S000000-E235959.V07B.nc4,2024-06-13 15:06:29,late_v7
